,Experience Level,Employment Type,Job Title,Salary,Remote?,Is rich?
82,MI,FT,Data Analyst,85000,0,0
83,EN,FT,Machine Learning Engineer,7000,0,0
84,EN,FT,Data Scientist,42923,1,0
85,MI,FT,Data Scientist,78990,0,0
86,MI,FT,Data Scientist,51039,0,0
87,MI,FT,Data Scientist,85066,0,0
88,MI,FT,Data Scientist,72914,0,0
89,MI,FT,Data Scientist,73546,2,0
90,MI,FT,Data Engineer,75000,2,0
91,MI,FT,Data Engineer,60400,2,0
92,MI,FT,Data Scientist,60093,2,0
93,MI,FT,Data Analyst,83500,2,0
94,MI,FT,Data Analyst,52500,2,0
95,EN,FT,Data Engineer,62000,2,0
96,EN,FT,Data Engineer,58000,2,0
97,EN,FT,Data Engineer,90000,0,0
98,MI,FT,Data Engineer,90000,2,0
99,SE,FT,Data Scientist,90000,2,0
100,EN,FT,Data Analyst,95000,2,1
101,EN,FT,Data Analyst,70000,2,0
102,SE,FT,Data Analyst,81666,2,0
103,SE,FT,Data Engineer,92000,2,0
104,SE,FT,Data Engineer,65000,0,0
105,SE,FT,Data Engineer,48000,0,0
106,SE,FT,Data Analyst,87000,0,0
107,EN,FT,Data Engineer,73900,0,0
108,MI,FT,Data Engineer,85066,2,0
109,MI,FT,Data Engineer,57723,2,0
110,MI,FT,Data Engineer,95000,0,0
111,SE,FT,Data Scientist,94192,0,0
112,SE,FT,Data Analyst,55000,0,0
113,MI,FT,Data Analyst,75000,2,0
114,MI,FT,Data Analyst,65000,2,0
115,MI,FT,Data Engineer,75020,2,0
116,MI,FT,Data Scientist,17022,2,0
117,EN,FT,Machine Learning Engineer,70000,0,0
118,EN,FT,Machine Learning Engineer,80000,1,0
119,MI,FT,Data Analyst,18238,1,0
120,EN,FT,Data Analyst,60000,2,0
121,MI,FT,Data Scientist,59020,0,0
122,MI,FT,Data Scientist,48289,0,0
123,MI,FT,Data Engineer,75116,2,0
124,MI,FT,Data Engineer,48289,2,0
125,MI,FT,Data Scientist,70000,0,0
126,MI,FT,Data Scientist,90000,0,0
127,MI,FT,Data Scientist,70000,0,0
128,SE,FT,Data Analyst,94000,2,0
129,SE,FT,Data Analyst,85000,0,0
130,MI,FT,Data Engineer,72000,2,0
131,MI,FT,Data Engineer,60000,2,0
132,MI,FT,Data Scientist,64385,1,0
133,SE,FL,Data Engineer,50000,1,0
134,SE,FT,Data Scientist,82365,0,0
135,MI,FT,Data Analyst,97218,0,0
136,MI,FT,Data Analyst,48609,0,0
137,SE,FT,Data Analyst,95000,0,0
138,SE,FT,Data Analyst,85500,0,0
139,MI,FT,Data Scientist,97750,2,0
140,MI,FT,Data Scientist,82920,2,0
141,SE,FT,Data Engineer,78000,2,0
142,MI,FT,Data Analyst,78990,2,0
143,MI,FT,Data Analyst,43809,2,0
144,EN,FT,Data Analyst,30000,1,0
145,EN,PT,Data Analyst,34320,2,0
146,MI,FT,Data Analyst,9289,2,0
147,SE,FT,Data Scientist,75116,2,0
148,SE,FT,Data Analyst,93800,2,0
149,SE,FT,Data Scientist,90000,2,0
150,SE,FT,Data Analyst,71897,2,0
151,EN,FT,Machine Learning Engineer,64385,0,0
152,SE,FT,Data Analyst,15806,2,0
153,MI,FT,Data Scientist,40000,1,0
154,SE,FT,Data Scientist,29453,1,0
155,SE,FT,Machine Learning Engineer,85847,2,0
156,SE,FT,Data Analyst,85000,2,0
157,SE,FT,Data Engineer,72946,0,0
158,SE,FT,Data Engineer,54365,0,0
159,SE,FT,Data Engineer,80000,0,0
160,SE,FT,Data Engineer,65000,0,0
161,SE,FT,Data Engineer,65488,0,0
162,SE,FT,Data Analyst,72200,0,0
163,SE,FT,Data Analyst,64980,0,0
164,SE,FT,Data Analyst,86466,2,0
165,SE,FT,Data Engineer,90000,0,0
166,MI,FT,Data Analyst,51039,0,0
167,MI,FT,Data Analyst,42533,0,0
168,MI,FT,Data Scientist,38631,1,0
169,SE,FT,Data Engineer,87980,0,0
170,SE,FT,Data Engineer,65000,2,0
171,SE,FT,Data Analyst,80000,2,0
172,EN,FT,Data Analyst,55000,0,0
173,EN,FT,Data Analyst,48000,0,0
174,SE,FT,Data Analyst,85000,0,0
175,SE,FT,Data Engineer,81500,2,0
176,MI,FT,Data Scientist,30000,0,0
177,SE,FT,Data Engineer,66000,2,0
178,SE,FT,Machine Learning Engineer,90000,0,0
179,SE,FT,Data Scientist,78000,0,0
180,MI,FT,Data Analyst,80000,0,0
181,MI,FT,Data Analyst,60000,0,0
182,MI,FT,Data Analyst,72914,0,0
183,EN,PT,Data Analyst,17779,2,0
184,EN,FT,Data Scientist,19522,2,0
185,SE,FT,Machine Learning Engineer,75116,2,0
186,MI,FT,Data Scientist,72914,0,0
187,MI,FT,Data Scientist,60761,0,0
188,EN,FT,Data Scientist,85000,0,0
189,MI,FT,Machine Learning Engineer,48609,2,0
190,EN,FT,Machine Learning Engineer,60000,2,0
191,SE,FT,Machine Learning Engineer,90700,0,0
192,SE,FT,Data Analyst,55800,2,0
193,SE,FT,Data Analyst,51508,2,0
194,EN,FT,Data Analyst,60000,2,0
195,EN,FT,Data Analyst,50000,1,0
196,EN,FT,Data Scientist,9727,0,0
197,SE,FT,Data Analyst,52500,0,0
198,SE,FT,Data Engineer,63000,2,0
199,EN,FT,Data Engineer,12000,0,0
200,MI,FT,Data Analyst,16414,2,0
201,MI,FT,Data Analyst,85066,0,0
202,SE,FT,Data Analyst,60000,0,0
203,MI,FT,Data Analyst,95000,2,0
204,SE,FT,Data Analyst,93919,2,0
205,SE,FT,Data Analyst,51962,2,0
206,SE,FT,Data Scientist,90000,2,0
207,MI,FT,Machine Learning Engineer,36000,2,0
208,MI,FT,Machine Learning Engineer,97218,0,0
209,SE,FT,Machine Learning Engineer,53654,2,0
210,MI,FT,Data Engineer,66837,2,0
211,MI,FT,Data Engineer,63192,2,0
212,MI,FT,Data Analyst,60761,0,0
213,MI,FT,Data Engineer,66531,2,0
214,MI,FT,Data Engineer,59020,2,0
215,EN,FT,Data Scientist,12767,1,0
216,EN,FT,Data Engineer,26827,2,0
217,MI,FT,Data Scientist,85000,0,0
218,MI,FT,Data Scientist,70000,0,0
219,MI,FT,Data Scientist,23000,2,0
220,SE,FT,Data Analyst,94000,0,0
221,MI,FT,Data Analyst,61200,0,0
222,EN,FT,Data Engineer,66970,1,0
223,SE,FT,Data Scientist,63312,1,0
224,SE,FT,Data Analyst,87000,2,0
225,MI,FT,Data Scientist,60795,1,0
226,EN,FT,Data Analyst,30000,2,0
227,SE,FT,Data Engineer,94000,2,0
228,SE,FT,Data Engineer,90000,2,0
229,EN,FT,Data Scientist,74540,0,0
230,MI,FT,Data Analyst,79000,0,0
231,SE,FT,Machine Learning Engineer,84053,1,0
232,MI,FT,Machine Learning Engineer,50000,0,0
233,SE,FT,Data Analyst,74178,0,0
234,SE,FT,Data Engineer,85000,2,0
235,EN,FT,Data Scientist,12888,1,0
236,MI,FT,Data Analyst,52500,0,0
237,SE,FT,Data Scientist,84000,2,0
238,EN,FT,Data Analyst,48000,1,0
239,MI,FT,Data Scientist,80000,2,0
240,EN,FT,Data Analyst,12877,1,0
241,EN,FT,Machine Learning Engineer,6304,0,0
242,MI,FT,Data Analyst,17509,1,0
243,SE,FT,Data Scientist,77262,0,0
244,SE,FT,Data Scientist,38631,0,0
245,MI,FT,Data Scientist,53654,1,0
246,SE,FT,Data Analyst,51508,0,0
247,SE,FT,Data Analyst,40777,0,0
248,MI,FT,Data Engineer,95000,2,0
249,SE,FT,Data Scientist,94000,0,0
250,MI,FT,Data Scientist,24740,1,0
251,MI,FT,Machine Learning Engineer,15897,2,0
252,SE,FT,Data Engineer,94000,0,0
253,SE,FT,Machine Learning Engineer,77262,0,0
254,SE,FT,Machine Learning Engineer,38631,0,0
255,MI,FT,Data Analyst,78990,0,0
256,MI,FT,Data Analyst,43809,0,0
257,MI,FT,Machine Learning Engineer,87000,0,0
258,EN,FT,Data Scientist,50000,2,0
259,MI,FT,Data Engineer,95000,2,0
260,MI,FT,Data Engineer,80000,2,0
261,MI,FT,Data Analyst,72000,0,0
262,MI,FT,Data Engineer,70000,0,0
263,SE,FT,Data Engineer,96100,2,0
264,SE,FT,Data Scientist,72000,0,0
265,MI,FT,Machine Learning Engineer,72914,0,0
266,EN,PT,Data Analyst,25216,2,0
267,MI,FT,Machine Learning Engineer,67141,0,0
268,SE,FT,Data Engineer,69751,0,0
269,SE,FT,Data Engineer,37558,0,0
270,SE,FT,Data Scientist,54094,2,0
271,MI,FT,Data Analyst,18314,1,0
272,SE,FT,Data Analyst,64000,2,0
273,MI,FT,Machine Learning Engineer,75344,2,0
274,MI,FT,Machine Learning Engineer,63192,2,0
275,MI,FT,Machine Learning Engineer,58331,2,0
276,MI,FT,Machine Learning Engineer,46178,2,0
277,MI,FT,Data Analyst,14307,2,0
278,MI,FT,Data Scientist,13989,2,0
279,MI,FT,Data Scientist,90000,0,0
280,SE,FT,Data Scientist,94500,0,0
281,SE,FT,Data Scientist,51000,2,0
282,EN,FT,Data Scientist,40000,2,0
283,EN,FT,Machine Learning Engineer,40000,2,0
284,SE,FT,Data Engineer,63000,2,0
285,MI,FT,Data Scientist,94560,2,0
286,MI,FT,Data Scientist,52533,2,0
287,EN,FT,Machine Learning Engineer,40000,2,0
288,SE,FT,Data Scientist,56723,0,0
289,MI,FT,Data Engineer,95000,0,0
290,EN,FT,Data Scientist,24165,1,0
291,EN,FT,Data Engineer,85000,0,0
292,EN,FT,Data Engineer,65000,0,0
293,MI,FT,Data Scientist,92350,0,0
294,MI,FT,Data Scientist,67723,0,0
295,MI,FT,Data Engineer,70000,0,0
296,SE,FT,Data Engineer,75000,0,0
297,MI,FT,Data Analyst,75000,2,0
298,MI,FT,Data Analyst,60000,2,0
299,EN,FT,Machine Learning Engineer,10000,1,0
300,MI,FT,Data Scientist,31795,2,0
301,MI,FT,Machine Learning Engineer,44365,2,0
302,MI,FT,Data Engineer,92350,2,0
303,MI,FT,Data Engineer,73880,2,0
304,SE,FT,Data Analyst,95000,0,0
305,SE,FT,Data Engineer,78000,0,0
306,SE,FT,Data Engineer,73546,0,0
307,SE,FT,Data Engineer,36773,0,0
308,MI,FT,Data Engineer,35610,1,0
309,SE,FT,Data Engineer,95000,0,0
310,SE,FT,Data Scientist,47280,0,0
311,SE,FT,Data Scientist,37824,0,0
312,SE,FT,Data Analyst,81666,2,0
313,EN,FT,Data Analyst,55000,0,0
314,EN,FT,Data Analyst,48000,0,0
315,MI,FT,Machine Learning Engineer,58837,2,0
316,MI,FT,Data Analyst,66100,2,0
317,MI,FT,Data Engineer,80000,2,0
318,MI,FT,Data Analyst,55410,0,0
319,SE,FT,Data Analyst,50432,0,0
320,SE,FT,Data Analyst,39925,0,0
321,EN,FT,Data Analyst,60938,0,0
322,SE,FT,Machine Learning Engineer,10000,1,0
323,EN,FT,Data Analyst,50000,1,0
324,EN,FT,Data Scientist,74540,0,0
325,MI,FT,Data Analyst,65000,2,0
326,MI,FT,Data Analyst,16904,1,0
327,EN,FT,Machine Learning Engineer,12000,2,0
328,SE,FT,Data Engineer,68293,0,0
329,SE,FT,Data Analyst,70000,0,0
330,SE,FT,Data Scientist,81500,0,0
331,SE,FT,Data Analyst,89200,2,0
332,MI,FT,Machine Learning Engineer,90000,0,0
333,SE,FT,Data Analyst,65000,2,0
334,SE,FT,Data Analyst,55000,2,0
335,MI,FT,Data Scientist,63040,2,0
336,SE,FT,Data Engineer,70000,0,0
337,SE,FT,Data Scientist,95000,0,0
338,SE,FT,Data Engineer,99000,0,0
339,MI,FT,Data Engineer,79178,0,0
340,MI,FT,Data Scientist,70186,0,0
341,MI,FT,Data Scientist,51716,0,0
342,MI,FT,Data Analyst,95000,0,0
343,EN,FT,Data Analyst,13000,2,0
344,EN,FL,Data Analyst,50000,2,0
345,MI,FT,Data Engineer,75000,2,0
346,SE,FT,Data Scientist,70000,0,0
347,EN,FT,Machine Learning Engineer,20000,0,0
348,MI,FT,Data Scientist,64090,0,0
349,MI,FT,Data Scientist,60938,0,0
350,MI,FT,Data Scientist,90000,2,0
351,SE,FT,Data Analyst,96000,2,0
352,SE,FT,Data Analyst,92350,0,0
353,SE,FT,Data Analyst,70186,0,0
354,SE,FT,Data Analyst,70000,0,0
355,SE,FT,Machine Learning Engineer,73546,2,0
356,SE,FT,Data Engineer,42026,0,0
357,EN,FT,Machine Learning Engineer,66192,1,0
358,EN,FT,Machine Learning Engineer,50000,2,0
359,MI,FT,Data Analyst,80000,2,0
360,EN,FT,Data Scientist,27317,1,0
361,MI,FT,Data Engineer,90000,2,0
362,MI,FT,Machine Learning Engineer,86193,2,0
363,MI,FT,Machine Learning Engineer,49253,2,0
364,MI,FT,Data Analyst,73880,0,0
365,MI,FT,Data Analyst,65000,0,0
366,SE,FT,Data Engineer,63040,0,0
367,SE,FT,Data Engineer,36773,0,0
368,SE,FT,Data Analyst,68293,0,0
369,MI,FT,Data Engineer,80000,0,0
370,MI,FT,Data Engineer,65000,0,0
371,SE,FT,Data Engineer,61566,2,0
372,SE,FT,Data Engineer,43096,2,0
373,EN,FT,Data Scientist,80000,0,0
374,MI,FL,Machine Learning Engineer,45555,1,0
375,EN,FT,Data Scientist,17684,2,0
376,MI,FT,Machine Learning Engineer,80036,0,0
377,SE,FT,Data Scientist,93800,0,0
378,EN,PT,Data Analyst,12000,2,0
379,EN,FT,Machine Learning Engineer,33000,2,0
380,EN,FT,Data Scientist,34672,2,0
381,MI,FT,Data Analyst,79000,0,0
382,MI,FT,Data Scientist,89306,1,0
383,EN,FT,Data Engineer,77300,2,0
384,EN,FT,Data Engineer,45600,2,0
385,SE,FT,Data Engineer,12608,2,0
386,MI,FT,Data Scientist,85000,2,0
387,MI,FT,Data Scientist,78000,2,0
388,EN,FT,Data Engineer,61566,2,0
389,EN,FT,Data Engineer,49253,2,0
390,MI,FT,Data Scientist,57872,1,0
391,EN,FT,Data Analyst,64000,2,0
392,EN,FT,Data Scientist,39925,1,0
393,EN,FT,Data Analyst,76000,1,0
394,SE,FT,Data Analyst,92350,0,0
395,SE,FT,Data Analyst,80000,0,0
396,SE,FT,Data Analyst,52500,0,0
397,SE,FT,Data Analyst,92250,0,0
398,SE,FT,Data Engineer,97000,2,0
399,SE,FT,Data Engineer,90000,2,0
400,MI,FT,Data Analyst,80000,0,0
401,MI,FT,Data Analyst,52500,0,0
402,SE,FT,Data Engineer,81500,0,0
403,SE,FT,Data Engineer,70000,0,0
404,SE,FT,Data Analyst,36773,0,0
405,MI,FT,Data Scientist,30000,2,0
406,MI,FT,Data Analyst,78000,2,0
407,MI,FT,Data Analyst,48000,2,0
408,MI,FT,Data Engineer,78000,2,0
409,MI,FT,Data Engineer,42000,2,0
410,MI,FT,Data Analyst,78000,2,0
411,MI,FT,Data Analyst,48000,2,0
412,MI,FT,Data Scientist,84000,2,0
413,MI,FT,Data Scientist,54000,2,0
414,EN,FT,Data Scientist,80000,2,0
415,EN,FT,Data Scientist,73742,2,0
416,EN,FT,Data Scientist,33246,1,0
417,EN,FT,Data Analyst,5409,1,0
418,MI,FT,Data Engineer,75050,1,0
419,SE,FT,Data Scientist,8000,2,0
420,SE,FT,Data Scientist,38000,2,0
421,MI,FT,Data Analyst,85000,0,0
422,MI,FT,Data Analyst,65000,0,0
423,MI,FT,Data Engineer,92350,0,0
424,SE,FT,Data Scientist,50000,2,0
425,SE,FT,Data Scientist,88100,0,0
426,SE,FT,Data Scientist,55000,2,0
427,SE,FT,Data Analyst,85700,0,0
428,SE,FT,Data Engineer,50000,2,0
429,MI,FT,Machine Learning Engineer,98200,2,0
430,SE,FT,Data Analyst,95000,2,0
431,SE,FT,Data Engineer,66000,2,0
432,MI,FT,Data Engineer,98000,0,0
433,MI,FT,Data Analyst,62000,0,0
434,EN,FT,Data Analyst,57000,2,0
435,MI,FT,Data Scientist,83171,0,0
436,SE,FT,Data Engineer,38154,2,0
437,SE,FT,Data Engineer,73546,0,0
438,SE,FT,Data Engineer,42026,0,0
439,MI,FT,Data Scientist,75648,2,0
440,SE,FT,Machine Learning Engineer,69344,2,0
441,MI,FT,Machine Learning Engineer,5132,2,0
442,SE,CT,Data Analyst,90000,2,0
443,MI,FT,Data Scientist,84053,0,0
444,MI,FT,Data Analyst,85000,2,0
445,MI,FT,Data Analyst,45050,1,0
446,EN,FT,Data Analyst,42028,1,0
447,EN,FT,Data Analyst,20000,1,0
448,SE,FT,Data Engineer,85000,2,0
449,SE,FT,Data Engineer,63000,2,0
450,MI,FT,Data Scientist,10000,0,0
451,EN,FT,Data Scientist,50000,2,0
452,SE,FT,Data Analyst,99750,2,0
453,SE,FT,Data Analyst,68400,2,0
454,SE,FT,Data Analyst,99000,0,0
455,SE,FT,Machine Learning Engineer,84000,2,0
456,MI,FT,Data Engineer,60000,2,0
457,MI,FT,Data Engineer,80036,2,0
458,MI,FT,Data Engineer,67723,2,0
459,EN,FT,Data Scientist,22892,1,0
460,EN,FT,Data Scientist,31520,2,0
461,SE,FT,Data Engineer,80000,2,0
462,EN,FT,Data Analyst,8050,2,0
463,MI,CT,Machine Learning Engineer,60000,2,0
464,SE,FT,Machine Learning Engineer,63040,1,0
465,EN,FT,Data Analyst,50000,2,0
466,EN,FT,Machine Learning Engineer,20000,1,0
467,EN,FT,Machine Learning Engineer,15000,2,0
468,EN,FT,Data Scientist,93000,0,0
469,EN,FT,Data Scientist,73000,0,0
470,EN,FT,Data Analyst,7799,2,0
471,SE,FT,Data Scientist,57786,1,0
472,EN,FT,Data Engineer,45390,1,0
473,MI,FT,Data Analyst,97500,2,0
474,MI,FT,Data Scientist,73546,1,0
475,EN,FT,Data Scientist,50000,1,0
476,EN,FT,Data Analyst,6359,2,0
477,MI,FT,Data Analyst,75000,0,0
478,MI,FT,Data Engineer,84053,2,0
479,MI,FT,Data Engineer,73546,2,0
480,MI,FT,Data Engineer,98506,2,0
481,MI,FT,Data Engineer,86193,2,0
482,MI,FT,Data Engineer,84053,2,0
483,MI,FT,Data Engineer,73546,2,0
484,SE,FT,Data Analyst,80041,2,0
485,SE,FT,Data Engineer,82280,2,0
486,EN,FT,Data Scientist,31520,1,0
487,SE,FT,Data Analyst,81000,2,0
488,SE,FT,Data Analyst,66000,2,0
489,EN,FT,Data Analyst,46000,2,0
490,EN,FT,Data Engineer,80000,2,0
491,SE,FT,Data Analyst,63000,0,0
492,EN,PT,Machine Learning Engineer,19073,1,0
493,SE,FT,Data Analyst,95000,2,0
494,SE,FT,Data Analyst,70000,2,0
495,MI,FT,Data Scientist,75000,2,0
496,MI,CT,Data Analyst,7500,1,0
497,SE,FT,Data Analyst,50000,2,0
498,MI,FT,Data Analyst,53368,2,0
499,SE,FT,Data Scientist,29944,1,0
500,SE,FT,Data Engineer,90000,0,0
501,MI,FT,Data Scientist,54634,2,0
502,SE,FT,Data Engineer,63000,0,0
503,SE,FT,Machine Learning Engineer,95386,1,0
504,EN,FT,Data Scientist,82000,0,0
505,EN,FT,Data Analyst,6270,2,0
506,MI,FT,Data Scientist,89306,0,0
507,SE,FT,Data Engineer,63000,0,0
508,SE,FT,Machine Learning Engineer,85000,2,0
509,MI,FT,Data Engineer,98506,0,0
510,MI,FT,Data Engineer,73880,0,0
511,SE,FT,Data Analyst,99450,2,0
512,EN,FT,Machine Learning Engineer,55410,2,0
513,SE,FT,Data Analyst,86193,0,0
514,SE,FT,Data Analyst,61566,0,0
515,MI,FT,Data Analyst,5723,2,0
516,MI,FT,Data Analyst,50432,2,0
517,EN,FT,Data Analyst,50000,2,0
518,EN,FT,Data Scientist,84053,2,0
519,MI,FT,Data Scientist,61566,1,0
520,SE,FT,Data Engineer,63000,0,0
521,MI,FT,Data Engineer,24000,0,0
522,EN,FT,Machine Learning Engineer,12171,2,0
523,MI,FT,Data Scientist,53416,2,0
524,EN,FT,Data Scientist,50000,1,0
525,EX,FT,Data Scientist,84053,0,0
526,SE,FT,Data Analyst,48000,2,0
527,EN,FT,Data Analyst,55000,2,0
528,SE,FT,Data Scientist,77119,2,0
529,EN,FT,Data Scientist,52008,1,0
530,MI,FL,Data Scientist,30523,2,0
531,SE,FT,Data Engineer,99100,0,0
532,MI,FT,Data Analyst,54000,0,0
533,SE,FT,Data Engineer,80000,0,0
534,EN,FT,Machine Learning Engineer,30000,2,0
535,EN,FT,Data Analyst,28368,1,0
536,MI,FT,Data Engineer,91118,0,0
537,MI,FT,Data Engineer,61566,0,0
538,MI,FT,Data Scientist,60938,2,0
539,MI,FT,Data Scientist,80036,1,0
540,SE,FT,Data Analyst,93700,2,0
541,SE,FT,Data Scientist,92000,2,0
542,EN,FT,Data Engineer,86000,2,0
543,EN,FT,Data Engineer,13493,2,0
544,MI,FT,Data Scientist,25000,1,0
545,MI,FT,Data Analyst,65257,1,0
546,MI,FT,Data Scientist,22800,2,0
547,EN,FT,Data Analyst,22809,2,0
548,EN,FT,Data Analyst,15000,0,0
549,EN,FT,Machine Learning Engineer,83000,0,0
550,SE,FT,Data Analyst,90320,0,0
551,MI,FT,Data Engineer,65666,1,0
552,MI,FT,Machine Learning Engineer,92350,0,0
553,SE,FT,Data Analyst,90320,2,0
554,EN,FT,Data Scientist,49268,0,0
555,SE,FT,Data Analyst,81666,0,0
556,MI,FT,Machine Learning Engineer,84053,2,0
557,MI,FT,Data Engineer,52533,0,0
558,EX,FT,Machine Learning Engineer,76309,1,0
559,EN,FT,Machine Learning Engineer,35093,2,0
560,MI,FT,Data Analyst,49253,2,0
561,MI,FT,Data Analyst,36940,2,0
562,MI,FT,Data Analyst,42026,2,0
563,MI,FT,Data Analyst,31520,2,0
564,MI,FT,Data Analyst,42026,2,0
565,MI,FT,Data Analyst,31520,2,0
566,MI,FT,Data Engineer,63040,2,0
567,MI,FT,Data Engineer,47280,2,0
568,MI,FT,Data Scientist,43096,0,0
569,MI,FT,Data Engineer,63040,2,0
570,MI,FT,Data Engineer,47280,2,0
571,MI,FT,Data Engineer,55410,2,0
572,MI,FT,Machine Learning Engineer,51064,1,0
573,SE,FT,Machine Learning Engineer,60000,2,0
574,MI,FT,Data Engineer,82900,0,0
575,MI,FT,Data Engineer,63900,0,0
576,SE,FT,Data Scientist,80000,0,0
577,MI,FT,Data Analyst,58000,0,0
578,MI,FT,Data Scientist,61566,0,0
579,MI,FT,Data Scientist,36940,0,0
580,MI,FT,Data Engineer,49253,0,0
581,MI,FT,Data Scientist,90000,0,0
582,SE,FT,Data Analyst,84900,2,0
583,SE,FT,Data Scientist,99360,2,0
584,SE,FT,Data Scientist,98506,0,0
585,EN,FT,Data Engineer,43096,2,0
586,SE,FT,Data Engineer,73880,0,0
587,SE,FT,Data Engineer,61566,0,0
588,SE,FT,Data Engineer,90700,2,0
589,SE,FT,Data Analyst,61300,2,0
590,SE,FT,Data Scientist,95550,0,0
591,SE,FT,Data Engineer,93700,2,0
592,SE,FT,Data Engineer,70500,0,0
593,SE,FT,Data Engineer,54000,0,0
594,SE,FT,Data Analyst,99050,2,0
595,MI,FT,Data Analyst,85000,0,0
596,MI,FT,Data Analyst,75000,0,0
597,MI,FT,Data Engineer,99100,0,0
598,MI,FT,Data Analyst,61566,0,0
599,MI,FT,Data Analyst,43096,0,0
600,SE,FT,Data Analyst,80000,2,0
601,SE,FT,Data Analyst,60000,2,0
602,EN,FT,Data Analyst,67000,0,0
603,EN,FT,Data Analyst,52000,0,0
604,SE,FT,Data Analyst,69000,2,0
605,SE,FT,Data Engineer,25000,2,0
606,MI,FT,Data Analyst,50000,2,0
607,MI,FT,Data Scientist,86193,0,0
608,SE,FT,Machine Learning Engineer,65000,2,0
609,MI,FT,Machine Learning Engineer,76814,2,0
610,MI,FT,Data Analyst,17805,2,0
611,MI,FT,Data Scientist,30523,2,0
612,MI,FT,Machine Learning Engineer,55685,1,0
613,MI,PT,Data Engineer,52533,1,0
614,EN,FT,Data Scientist,17805,2,0
615,MI,FT,Data Scientist,75000,2,0
616,MI,FT,Data Analyst,69133,1,0
617,EN,FT,Data Engineer,65000,2,0
618,SE,FT,Machine Learning Engineer,68293,2,0
